Pair	Word	Example	Swap	Synonyme	Swap + Synonyme
hung-herd	herd	A herd of elephants can often be seen at the watering hole.	A heard of elephants can often be seen at the watering hole.	A group of elephants can often be seen at the watering hole.	A perceive of elephants can often be seen at the watering hole.
heard-here	heard	I heard a strange noise in the attic last night.	I herd a strange noise in the attic last night.	I perceived a strange noise in the attic last night.	I group a strange noise in the attic last night.
heard-here	here	Please put the books down here on this table.	Please put the books down hear on this table.		
hear-heroin	hear	Did you hear the new song by your favorite artist?	Did you here the new song by your favorite artist?	Did you listen to the new song by your favorite artist?	
hear-heroin	heroin	Communities are struggling with the impact of heroin addiction.	Communities are struggling with the impact of heroine addiction.	Communities are struggling with the impact of opiate addiction.	Communities are struggling with the impact of protagonist addiction.
heroine-historic	heroine	The heroine of the story saved the village from danger.	The heroin of the story saved the village from danger.	The protagonist of the story saved the village from danger.	The opiate of the story saved the village from danger.
heroine-historic	historic	The moon landing was a historic event for humanity.	The moon landing was a historical event for humanity.	The moon landing was a momentous event for humanity.	The moon landing was a ancient event for humanity.
historical-hoard	historical	The museum displayed historical artifacts from Rome.	The museum displayed historic artifacts from Rome.	The museum displayed ancient artifacts from Rome.	The museum displayed momentous artifacts from Rome.
historical-hoard	hoard	Some people hoard food and supplies in case of an emergency.	Some people horde food and supplies in case of an emergency.	Some people collect food and supplies in case of an emergency.	Some people crowd food and supplies in case of an emergency.
horde-hole	horde	A horde of fans gathered outside the stadium to support their team.	A hoard of fans gathered outside the stadium to support their team.	A crowd of fans gathered outside the stadium to support their team.	A collect of fans gathered outside the stadium to support their team.
horde-hole	hole	Be careful not to trip over the hole in the ground.	Be careful not to trip over the whole in the ground.	Be careful not to trip over the opening in the ground.	Be careful not to trip over the entire in the ground.
whole-home	whole	He ate the whole cake by himself!	He ate the hole cake by himself!	He ate the entire cake by himself!	He ate the opening cake by himself!
whole-home	home	The guided missile was designed to home in on its target.	The guided missile was designed to hone in on its target.	The guided missile was designed to navigate to its target.	The guided missile was designed to improve to its target.
hone-immortal	hone	She decided to hone her skills in Spanish before traveling.	She decided to home her skills in Spanish before traveling.	She decided to improve her skills in Spanish before traveling.	She decided to navigate her skills in Spanish before traveling.
hone-immortal	immortal	The legend speaks of an immortal warrior who guards the mountains.	The legend speaks of an immoral warrior who guards the mountains.	The legend speaks of an eternal warrior who guards the mountains.	The legend speaks of an unethical warrior who guards the mountains.
immoral-insure	immoral	Cheating on the exam is not only dishonest but also immoral.	Cheating on the exam is not only dishonest but also immortal.	Cheating on the exam is not only dishonest but also unethical.	Cheating on the exam is not only dishonest but also eternal.
immoral-insure	insure	You should insure your house against natural disasters.	You should ensure your house against natural disasters.	You should protect your house against natural disasters.	You should confirm your house against natural disasters.
ensure-new	ensure	Double-checking the facts will ensure that your report is accurate.	Double-checking the facts will insure that your report is accurate.	Double-checking the facts will confirm that your report is accurate.	Double-checking the facts will protect that your report is accurate.
ensure-new	new	We moved into our new house just last week.	We moved into our knew house just last week.	We moved into our recent house just last week.	We moved into our aware house just last week.
latent-patent	latent	His latent talent for music wasn't discovered until adulthood.	His patent talent for music wasn't discovered until adulthood.	His dormant talent for music wasn't discovered until adulthood.	
latent-patent	patent	The inventor filed a patent for his innovative device.	The inventor filed a latent for his innovative patent.		
later-latter	later	Let's meet later this week to discuss the project.	Let's meet latter this week to discuss the project.		
later-latter	latter	I prefer the latter option you presented.	I prefer the later option you presented.	I prefer the second option you presented.	
lessen-lesson	lessen	Taking deep breaths might lessen your anxiety.	Taking deep breaths might lesson your anxiety.	Taking deep breaths might reduce your anxiety.	Taking deep breaths might teaching your anxiety.
lessen-lesson	lesson	Today's lesson will cover the French Revolution.	Today's lessen will cover the French Revolution.	Today's teaching will cover the French Revolution.	Today's reduce will cover the French Revolution.
liable-libel	liable	The company is liable for any damage caused by its products.	The company is libel for any damage caused by its products.	The company is responsible for any damage caused by its products.	The company is defamation for any damage caused by its products.
liable-libel	libel	Writing false statements about someone can lead to a charge of libel.	Writing false statements about someone can lead to a charge of liable.	Writing false statements about someone can lead to a charge of defamation.	Writing false statements about someone can lead to a charge of responsible.
lightening-lightning	lightening	The sky began lightening as dawn approached.	The sky began lightning as dawn approached.	The sky began brightening as dawn approached.	
lightening-lightning	lightning	The lightning lit up the entire sky during the storm.	The lightening lit up the entire sky during the storm.		
loathe-loath	loathe	He loathes having to wake up early for work.	He loaths having to wake up early for work.	He detests having to wake up early for work.	He reluctants having to wake up early for work.
loathe-loath	loath	She was loath to admit she was wrong.	She was loathe to admit she was loose.	She was reluctant to admit she was wrong.	She was detest to admit she was wrong.
loose-lose	loose	Make sure the bolts are not loose on the machinery.	Make sure the bolts are not lose on the machinery.		
loose-lose	lose	Did you lose your keys again?	Did you loose your keys again?	Did you misplace your keys again?	
manner-manor	manner	He handled the situation in a professional manner.	He handled the situation in a professional manor.	He handled the situation in a professional way.	He handled the situation in a professional mansion.
manner-manor	manor	The lord of the manor was known for his generosity.	The lord of the manner was known for his generosity.	The lord of the mansion was known for his generosity.	The lord of the way was known for his generosity.
mantel-mantle	mantel	Family photos were displayed on the fireplace mantel.	Family photos were displayed on the fireplace mantle.		
mantel-mantle	mantle	She draped a mantle around her shoulders to stay warm.	She draped a mantel around her shoulders to stay warm.	She wrapped a cloak around her shoulders to stay warm.	
marital-martial	marital	They are seeking marital counseling to improve their marriage.	They are seeking martial counseling to improve their marriage.	They are seeking relationship counseling to improve their marriage.	They are seeking fighting counseling to improve their marriage.
marital-martial	martial	Martial arts require discipline and practice.	Marital arts require discipline and practice.	Fighting arts require discipline and practice.	Relationship arts require discipline and practice.
marshal-marshall	marshal	The parade marshal directed the floats efficiently.	The parade marshall directed the marshalled efficiently.		
marshal-marshall	marshall	The students were marshalled by the teacher for the fire drill.	The students were marshaled by the teacher for the fire drill.	The students were organized by the teacher for the fire drill.	
may be-maybe	may be	There may be a chance of rain this weekend.	There maybe a chance of rain this weekend.		
may be-maybe	maybe	Maybe I will go out for dinner if I finish work early.	May be I will go out for dinner if I finish work early.	Perhaps I will go out for dinner if I finish work early.	
meet-mete	meet	We will meet outside the theater after the show.	We will mete outside the theater after the show.	We will convene outside the theater after the show.	We will dispense outside the theater after the show.
meet-mete	mete	Justice was meted out after a fair trial.	Justice was meeted out after a fair trial.	Justice was dispensed after a fair trial.	Justice was convened after a fair trial.
meat-meet	meat	She prefers chicken over other types of meat.	She prefers chicken over other types of meet.	She prefers chicken over other types of flesh.	She prefers chicken over other types of convene.
meat-meet	meet	We will meet outside the theater after the show.	We will meat outside the theater after the show.	We will convene outside the theater after the show.	We will flesh outside the theater after the show.
militate-mitigate	militate	His lack of experience may militate against him getting the job.	His lack of experience may mitigate against him getting the job.	His lack of experience may count against him getting the job.	His lack of experience may alleviate against him getting the job.
militate-mitigate	mitigate	The governor took steps to mitigate the crisis.	The governor took steps to militate the crisis.	The governor took steps to alleviate the crisis.	The governor took steps to count the crisis.
most-almost	most	Most of the cake has been eaten already.	Almost of the cake has been eaten already.	Much of the cake has been eaten already.	Nearly of the cake has been eaten already.
most-almost	almost	We're almost at the end of the book now.	We're most at the end of the book now.	We're nearly at the end of the book now.	We're much at the end of the book now.
overdo-overdue	overdo	It's important not to overdo it at the gym, or you risk injury.	It's important not to overdue it at the gym, or you risk injury.		
overdo-overdue	overdue	This library book is overdue; I need to return it as soon as possible.	This library book is overdo; I need to return it as soon as possible.	This library book is late; I need to return it as soon as possible.	
pamper-pander	pamper	On her birthday, she likes to pamper herself with a trip to the spa.	On her birthday, she likes to pander herself with a trip to the spa.	On her birthday, she likes to indulge herself with a trip to the spa.	On her birthday, she likes to cater herself with a trip to the spa.
pamper-pander	pander	The politician was known to pander to wealthy donors to fund his campaign.	The politician was known to pamper to wealthy donors to fund his campaign.	The politician was known to cater to wealthy donors to fund his campaign.	The politician was known to indulge wealthy donors to fund his campaign.
pasture-pastor	pasture	The cows spent their days grazing in the lush pasture.	The cows spent their days grazing in the lush pastor.	The cows spent their days grazing in the lush field.	The cows spent their days grazing in the lush priest.
pasture-pastor	pastor	The pastor gave uplifting sermons each Sunday.	The pasture gave uplifting sermons each Sunday.	The priest gave uplifting sermons each Sunday.	The field gave uplifting sermons each Sunday.
patience-patients	patience	Her patience was tested by the toddler's incessant questions.	Her patient was tested by the toddler's incessant questions.	Her forbearance was tested by the toddler's incessant questions.	
patience-patients	patients	The doctor's new patients were waiting in the lobby.	The doctor's new patience were waiting in the lobby.		
peace-piece	peace	After the long conflict, the region finally enjoyed a period of peace.	After the long conflict, the region finally enjoyed a period of piece.	After the long conflict, the region finally enjoyed a period of tranquility.	After the long conflict, the region finally enjoyed a period of segment.
peace-piece	piece	She added the missing piece to the puzzle.	She added the missing peace to the puzzle.	She added the missing segment to the puzzle.	She added the missing tranquility to the puzzle.
peek-peak	peek	Curiosity led him to peek through the keyhole.	Curiosity led him to peak through the keyhole.	Curiosity led him to glance through the keyhole.	Curiosity led him to summit through the keyhole.
peek-peak	peak	The hikers reached the mountain peak just before noon.	The hikers reached the mountain peek just before noon.	The hikers reached the mountain summit just before noon.	The hikers reached the mountain glance just before noon.
peer-pier	peer	He had to peer through his glasses to read the small print.	He had to pier through his glasses to read the small print.	He had to scrutinize through his glasses to read the small print.	He had to dock through his glasses to read the small print.
peer-pier	pier	They enjoyed a leisurely walk down the pier, watching the boats.	They enjoyed a leisurely walk down the peer, watching the boats.	They enjoyed a leisurely walk down the dock, watching the boats.	They enjoyed a leisurely walk down the scrutinize, watching the boats.
perspective-prospective	perspective	The mountaintop offers a fantastic perspective of the valley.	The mountaintop offers a fantastic prospective of the valley.	The mountaintop offers a fantastic view of the valley.	The mountaintop offers a fantastic potential of the valley.
perspective-prospective	prospective	The job fair was full of prospective employers.	The job fair was full of perspective employers.	The job fair was full of potential employers.	The job fair was full of view employers.
plain-plane	plain	She preferred wearing plain clothes rather than elaborate outfits.	She preferred wearing plane clothes rather than elaborate outfits.	She preferred wearing simple clothes rather than elaborate outfits.	She preferred wearing flat clothes rather than elaborate outfits.
plain-plane	plane	The carpenter ensured the wood surface was perfectly plane.	The carpenter ensured the wood surface was perfectly plain.	The carpenter ensured the wood surface was perfectly flat.	The carpenter ensured the wood surface was perfectly simple.
portent-potent	portent	The sighting of a comet was once regarded as a portent of doom.	The sighting of a comet was once regarded as a potent of doom.	The sighting of a comet was once regarded as an omen of doom.	The sighting of a comet was once regarded as a powerful of doom.
portent-potent	potent	The keynote speaker delivered a potent message that inspired the audience.	The keynote speaker delivered a portent message that inspired the audience.	The keynote speaker delivered a powerful message that inspired the audience.	The keynote speaker delivered an omen of doom message that inspired the audience.
pour-pore	pour	She poured a glass of water for her thirsty guest.	She pored a glass of water for her thirsty guest.	She dispensed a glass of water for her thirsty guest.	She studied a glass of water for her thirsty guest.
pour-pore	pore	Scholars will pore over ancient texts to find hidden meanings.	Scholars will pour over ancient texts to find hidden meanings.	Scholars will study ancient texts to find hidden meanings.	Scholars will dispense ancient texts to find hidden meanings.
premise-premises  	premise	His argument was flawed from the initial premise.	His argument was flawed from the initial premises.	His argument was flawed from the initial concept.	His argument was flawed from the initial property.
premise-premises  	premises  	No smoking is allowed anywhere on these premises.	No smoking is allowed anywhere on these premise.	No smoking is allowed anywhere on this property.	No smoking is allowed anywhere on this concept.
presence-presents	presence	His calm presence had a soothing effect on the group.	His calm presents had a soothing effect on the group.	His calm demeanor had a soothing effect on the group.	His calm gift had a soothing effect on the group.
presence-presents	presents	The children eagerly opened their presents on Christmas morning.	The children eagerly opened their presence on Christmas morning.	The children eagerly opened their gifts on Christmas morning.	The children eagerly opened their demeanors on Christmas morning.
principal-principle	principal	The principal of the school addressed the assembly first thing in the morning.	The principle of the school addressed the assembly first thing in the morning.	The head of the school addressed the assembly first thing in the morning.	The value of the school addressed the assembly first thing in the morning.
principal-principle	principle	She stood by her principles, even when it was difficult.	She stood by her principal, even when it was difficult.	She stood by her values, even when it was difficult.	She stood by her head of school, even when it was difficult.
quiet-quite	quiet	The library is a place where we should be quiet.	The library is a place where we should be quite.	The library is a place where we should be silent.	The library is a place where we should be very.
quiet-quite	quite	The movie was quite interesting, although it could be slow at times.	The movie was quiet interesting, although it could be slow at times.	The movie was very interesting, although it could be slow at times.	The movie was silent interesting, although it could be slow at times.
rein-reign	rein	The rider pulled on the reins to signal the horse to stop.	The rider pulled on the reigns to signal the horse to stop.	The rider pulled on the control straps to signal the horse to stop.	The rider pulled on the period of rule to signal the horse to stop.
rein-reign	reign	The queen's reign was marked by peace and prosperity.	The queen's rein was marked by peace and prosperity.	The queen's period of rule was marked by peace and prosperity.	The queen's control strap was marked by peace and prosperity.
rain-rein	rain	We need the rain to help the plants grow.	We need the rein to help the plants grow.	We need the precipitation to help the plants grow.	We need the control straps to help the plants grow.
rain-rein	rein	The rider pulled on the reins to signal the horse to stop.	The rider pulled on the rains to signal the horse to stop.	The rider pulled on the control straps to signal the horse to stop.	The rider pulled on the precipitations to signal the horse to stop.
reality-realty	reality	There is a gap between our expectations and reality.	There is a gap between our expectations and realty.	There is a gap between our expectations and the truth.	
reality-realty	realty	She built a successful career in realty over the past decade.	She built a successful career in reality over the past decade.		
regimen-regiment	regimen	Her health improved after starting a strict exercise regimen.	Her health improved after starting a strict exercise regiment.	Her health improved after starting a strict exercise routine.	Her health improved after starting a strict exercise unit.
regimen-regiment	regiment	The soldiers in the regiment trained daily for the upcoming mission.	The soldiers in the regimen trained daily for the upcoming mission.	The soldiers in the unit trained daily for the upcoming mission.	The soldiers in the routine trained daily for the upcoming mission.
retch-wretch	retch	Seasickness made him retch over the side of the boat.	Seasickness made him wretch over the side of the boat.	Seasickness made him vomit over the side of the boat.	Seasickness made him beggar over the side of the boat.
retch-wretch	wretch	The old wretch was well known for his miserly ways.	The old retch was well known for his miserly ways.	The old beggar was well known for his miserly ways.	The old vomit was well known for his miserly ways.
rifle-riffle	rifle	The thief rifled through the drawers looking for jewelry.	The thief riffled through the drawers looking for jewelry.	The thief rummaged through the drawers looking for jewelry.	The thief flipped through the drawers looking for jewelry.
rifle-riffle	riffle	She riffled through the pages of the manuscript searching for errors.	She rifled through the pages of the manuscript searching for errors.	She flipped through the pages of the manuscript searching for errors.	She rummaged through the pages of the manuscript searching for errors.
rite-write	rite	The tribe performed ancient rites to welcome the new season.	The tribe performed ancient writes to welcome the new season.	The tribe performed ancient ceremonies to welcome the new season.	The tribe performed ancient pens to welcome the new season.
rite-write	write	I plan to write a novel one day.	I plan to rite a novel one day.	I plan to pen a novel one day.	I plan to ceremony a novel one day.
rise-raise	rise	He watched the balloons rise into the sky.	He watched the balloons raise into the sky.	He watched the balloons ascend into the sky.	He watched the balloons increase into the sky.
rise-raise	raise	They plan to raise awareness for the charity through social media.	They plan to rise awareness for the charity through social media.	They plan to increase awareness for the charity through social media.	They plan to ascend awareness for the charity through social media.
road-rode	road	The winding road led them through the picturesque countryside.	The winding rode led them through the picturesque countryside.	The winding path led them through the picturesque countryside.	The winding drive led them through the picturesque countryside.
road-rode	rode	We rode our bikes all the way to the park.	We road our bikes all the way to the park.	We drove our bikes all the way to the park.	We path our bikes all the way to the park.
role-roll	role	She played the lead role in the school's musical.	She played the lead roll in the school's musical.	She played the lead character in the school's musical.	She played the lead rotate in the school's musical.
role-roll	roll	Roll the dough flat before cutting out cookies.	Role the dough flat before cutting out cookies.	Rotate the dough flat before cutting out cookies.	Character the dough flat before cutting out cookies.
sale-sail	sale	There's a sale on winter clothing at the department store.	There's a sail on winter clothing at the department store.	There's a discount on winter clothing at the department store.	There's a navigate on winter clothing at the department store.
sale-sail	sail	She loves to sail on the lake during the summer.	She loves to sale on the lake during the summer.	She loves to navigate on the lake during the summer.	She loves to discount on the lake during the summer.
scene-seen	scene	The crime scene was cordoned off by the police.	The crime seene was cordoned off by the police.	The crime area was cordoned off by the police.	The crime observed was cordoned off by the police.
scene-seen	seen	I've seen that actor in several movies before.	I've scene that actor in several movies before.	I've observed that actor in several movies before.	I've area that actor in several movies before.
seam-seem	seam	She noticed the seam of her dress had come undone.	She noticed the seem of her dress had come undone.	She noticed the stitching of her dress had come undone.	She noticed the appear of her dress had come undone.
seam-seem	seem	It would seem that we have arrived a bit early.	It would seam that we have arrived a bit early.	It would appear that we have arrived a bit early.	It would stitching that we have arrived a bit early.
serf-surf	serf	The serf worked the land for the feudal lord.	The surf worked the land for the feudal lord.	The peasant worked the land for the feudal lord.	The wave riding worked the land for the feudal lord.
serf-surf	surf	She dreamed of learning to surf on the California coasts.	She dreamed of learning to serf on the California coasts.	She dreamed of learning to ride waves on the California coasts.	She dreamed of learning to peasant on the California coasts.
set-sit	set	He set the clock for a 7 a.m. alarm.	He sit the clock for a 7 a.m. alarm.	He programmed the clock for a 7 a.m. alarm.	He settled the clock for a 7 a.m. alarm.
set-sit	sit	After a long day, she wanted to sit by the fireplace.	After a long day, she wanted to set by the fireplace.	After a long day, she wanted to settle by the fireplace.	After a long day, she wanted to program by the fireplace.
set-seat	set	He set the clock for a 7 a.m. alarm.	He seat the clock for a 7 a.m. alarm.	He programmed the clock for a 7 a.m. alarm.	He accommodated the clock for a 7 a.m. alarm.
set-seat	seat	They will seat guests as they arrive at the banquet.	They will set guests as they arrive at the banquet.	They will accommodate guests as they arrive at the banquet.	They will program guests as they arrive at the banquet.
sever-severe	sever	The chef used a sharp knife to sever the meat from the bone.	The chef used a sharp knife to severe the meat from the bone.	The chef used a sharp knife to detach the meat from the bone.	The chef used a sharp knife to intense the meat from the bone.
sever-severe	severe	The severe weather prompted warnings from meteorologists.	The sever weather prompted warnings from meteorologists.	The intense weather prompted warnings from meteorologists.	The detached weather prompted warnings from meteorologists.
shear-sheer	shear	Each spring, they shear the sheep's thick wool.	Each spring, they sheer the sheep's thick wool.	Each spring, they clip the sheep's thick wool.	Each spring, they transparent the sheep's thick wool.
shear-sheer	sheer	She purchased sheer curtains that gently diffused the sunlight.	She purchased shear curtains that gently diffused the sunlight.	She purchased transparent curtains that gently diffused the sunlight.	She purchased clip curtains that gently diffused the sunlight.
shore-sure	shore	The children played on the shore, building sandcastles.	The children played on the sure, building sandcastles.	The children played on the waterside, building sandcastles.	The children played on the convinced, building sandcastles.
shore-sure	sure	She was sure that this was the correct path to reach the summit.	She was shore that this was the correct path to reach the summit.	She was convinced that this was the correct path to reach the summit.	She was waterside that this was the correct path to reach the summit.
sleight-of-hand-slight-of-hand	sleight-of-hand	The magician's sleight-of-hand amazed the audience.	The magician's slight-of-hand amazed the audience.	The magician's dexterity amazed the audience.	The magician's deception amazed the audience.
sleight-of-hand-slight-of-hand	slight-of-hand	"There's no ""slight-of-hand"" involved; it's a straightforward magic trick."	"There's no ""sleight-of-hand"" involved; it's a straightforward magic trick."	"There's no ""deception"" involved; it's a straightforward magic trick."	There's no dexterity involved; it's a straightforward magic trick.
sole-soul	sole	He was the sole survivor of the shipwreck.	He was the soule survivor of the shipwreck.	He was the only survivor of the shipwreck.	He was the spirit survivor of the shipwreck.
sole-soul	soul	She believed her soul would find peace in the afterlife.	She believed her sole would find peace in the afterlife.	She believed her spirit would find peace in the afterlife.	She believed her only would find peace in the afterlife.
some time-sometime	some time	We'll need some time to complete this project.	We'll need sometime to complete this project.	We'll need a period of time to complete this project.	We'll need some day to complete this project.
some time-sometime	sometime	Let's meet up for coffee sometime next week.	Let's meet up for coffee some time next week.	Let's meet up for coffee some day next week.	Let's meet up for coffee a period of time next week.
some time-sometimes	some time	We'll need some time to complete this project.	We'll need sometimes to complete this project.	We'll need a period of time to complete this project.	We'll need occasionally to complete this project.
some time-sometimes	sometimes	She sometimes skips breakfast when she's in a hurry.	She some time skips breakfast when she's in a hurry.	She occasionally skips breakfast when she's in a hurry.	She a period of time skips breakfast when she's in a hurry.
sometime-sometimes	sometime	Let's meet up for coffee sometime next week.	Let's meet up for coffee sometimes next week.		
sometime-sometimes	sometimes	She sometimes skips breakfast when she's in a hurry.	She sometime skips breakfast when she's in a hurry.	She occasionally skips breakfast when she's in a hurry.	
stationary-stationery	stationary	The sculpture remained stationary despite the strong winds.	The sculpture remained stationery despite the strong winds.	The sculpture remained immobile despite the strong winds.	The sculpture remained writing paper despite the strong winds.
stationary-stationery	stationery	She wrote her thank-you notes on elegant stationery.	She wrote her thank-you notes on elegant stationary.	She wrote her thank-you notes on elegant writing paper.	She wrote her thank-you notes on elegant sculptures.
statue-statute	statue	They unveiled a statue in honor of the city's founder.	They unveiled a statute in honor of the city's founder.	They unveiled a sculpture in honor of the city's founder.	They unveiled an edict in honor of the city's founder.
statue-statute	statute	The new statute goes into effect at the start of next year.	The new statue goes into effect at the start of next year.	The new edict goes into effect at the start of next year.	The new sculpture goes into effect at the start of next year.
statue-stature	statue	They unveiled a statue in honor of the city's founder.	They unveiled a stature in honor of the city's founder.	They unveiled a sculpture in honor of the city's founder.	They unveiled a prominence in honor of the city's founder.
statue-stature	stature	The leader grew in stature as he overcame challenges.	The leader grew in statue as he overcame challenges.	The leader grew in prominence as he overcame challenges.	The leader grew in sculpture as he overcame challenges.
statute-stature	statute	The new statute goes into effect at the start of next year.	The new stature goes into effect at the start of next year.	The new edict goes into effect at the start of next year.	The new prominence goes into effect at the start of next year.
statute-stature	stature	The leader grew in stature as he overcame challenges.	The leader grew in statute as he overcame challenges.	The leader grew in prominence as he overcame challenges.	The leader grew in edict as he overcame challenges.
storey-story	storey	The building had three storeys, with the top offering an impressive view.	The building had three storys, with the top offering an impressive view.	The building had three levels, with the top offering an impressive view.	The building had three tales, with the top offering an impressive view.
storey-story	story	The original story had a very different ending.	The original storey had a very different ending.	The original tale had a very different ending.	The original level had a very different ending.
straight-strait	straight	We walked a straight path through the woods.	We walked a strait path through the woods.	We walked a direct path through the woods.	We walked a channel path through the woods.
straight-strait	strait	The strait of Gibraltar connects the Atlantic Ocean to the Mediterranean Sea.	The straight of Gibraltar connects the Atlantic Ocean to the Mediterranean Sea.	The channel of Gibraltar connects the Atlantic Ocean to the Mediterranean Sea.	The direct of Gibraltar connects the Atlantic Ocean to the Mediterranean Sea.
taut-taught	taut	The sailor kept the ropes taut in the strong wind.	The sailor kept the ropes taught in the strong wind.	The sailor kept the ropes stretched tight in the strong wind.	The sailor kept the ropes instructed in the strong wind.
taut-taught	taught	She taught high school biology for over a decade.	She taut high school biology for over a decade.	She instructed high school biology for over a decade.	She taut high school biology for over a decade.
tenant-tenet	tenant	The new tenant signed the lease agreement yesterday.	The new tenet signed the lease agreement yesterday.	The new occupant signed the lease agreement yesterday.	The new beliefs signed the lease agreement yesterday.
tenant-tenet	tenet	One of the central tenets of democracy is freedom of expression.	One of the central tenants of democracy is freedom of expression.	One of the central beliefs of democracy is freedom of expression.	One of the central occupants of democracy is freedom of expression.
than-then	than	She performed better than her teammate in the competition.	She performed better then her teammate in the competition.	She performed better compared to her teammate in the competition.	She performed better afterward her teammate in the competition.
than-then	then	Do your homework now; then you can watch television.	Do your homework now; than you can watch television.	Do your homework now; afterward, you can watch television.	Do your homework now; compared to, you can watch television.
their-there	their	The students presented their science projects at the fair.	The students presented there science projects at the fair.		
their-there	there	She pointed to the chart and said we would meet there.	She pointed to the chart and said we would meet their.		
throes-throws	throes	The country was in the throes of economic collapse.	The country was in the throws of economic collapse.	The country was in the agony of economic collapse.	The country was in the passes of economic collapse.
throes-throws	throws	The quarterback makes precise throws even under pressure.	The quarterback makes precise throes even under pressure.	The quarterback makes precise passes even under pressure.	The quarterback makes precise agony even under pressure.
till-til	till	The farmer will till the soil before planting new seeds.	The farmer will til the soil before planting new seeds.	The farmer will prepare the soil before planting new seeds.	The farmer will until the soil before planting new seeds.
till-til	til	I won't see you til next week. 	I won't see you till next week. 	I won't see you until next week.	I won't see you prepare next week.
to-too	to	They all went to the movies.	They all went too the movies.		
to-too	too	I would like some ice cream too.	I would like some ice cream to.	I would like some ice cream as well.	
two-too	two	They have two children.	They have too children.	They have a pair of children.	They have as well of children.
two-too	too	I would like some ice cream too.	I would like some ice cream two.	I would like some ice cream as well.	I would like some ice cream a pair.
two-to	two	They have two children.	They have to children.	They have a pair of children.	
two-to	to	They all went to the movies.	They all went two the movies.		
torpid-turgid	torpid	The medication left her feeling torpid and sleepy.	The medication left her feeling turgid and sleepy.	The medication left her feeling lethargic and sleepy.	The medication left her feeling pompous and sleepy.
torpid-turgid	turgid	His writing style is so turgid that it's tough to follow.	His writing style is so torpid that it's tough to follow.	His writing style is so pompous that it's difficult to follow.	His writing style is so lethargic that it's difficult to follow.
tortuous-torturous	tortuous	The path up the mountain was tortuous and required careful navigation.	The path up the mountain was torturous and required careful navigation.	The path up the mountain was winding and required careful navigation.	The path up the mountain was agonizing and required careful navigation.
tortuous-torturous	torturous	Waiting in the long line was torturous for the impatient boy.	Waiting in the long line was tortuous for the impatient boy.	Waiting in the long line was agonizing for the impatient boy.	Waiting in the long line was winding for the impatient boy.
vain-vein	vain	Despite her vain efforts, she was unable to change his mind.	Despite her vein efforts, she was unable to change his mind.	Despite her fruitless efforts, she was unable to change his mind.	Despite her blood vessel efforts, she was unable to change his mind.
vain-vein	vein	The surgeon carefully inserted the IV into the patient's vein.	The surgeon carefully inserted the IV into the patient's vain.	The surgeon carefully inserted the IV into the patient's blood vessel.	The surgeon carefully inserted the IV into the patient's fruitless.
venal-venial	venal	The politician's venal behavior was exposed by the media.	The politician's venial behavior was exposed by the media.	The politician's corrupt behavior was exposed by the media.	The politician's minor behavior was exposed by the media.
venal-venial	venial	The priest assured her that her actions were venial and forgivable.	The priest assured her that her actions were venal and forgivable.	The priest assured her that her actions were minor and forgivable.	The priest assured her that her actions were corrupt and forgivable.
verses-versus	verses	The poet recited verses from her latest collection.	The poet recited versus from her latest collection.	The poet recited stanzas from her latest collection.	The poet recited against from her latest collection.
verses-versus	versus	The championship game will be the Tigers versus the Eagles.	The championship game will be the Tigers verses the Eagles.	The championship game will be the Tigers against the Eagles.	The championship game will be the Tigers stanzas the Eagles.
vicious-viscous	vicious	The critics gave a vicious review of the new movie.	The critics gave a viscous review of the new movie.	The critics gave a savage review of the new movie.	The critics gave a thick review of the new movie.
vicious-viscous	viscous	The viscous syrup flowed slowly out of the bottle.	The vicious syrup flowed slowly out of the bottle.	The thick syrup flowed slowly out of the bottle.	The savage syrup flowed slowly out of the bottle.
waist-waste	waist	He adjusted his belt to fit his waist snugly.	He adjusted his belt to fit his waste snugly.	He adjusted his belt to fit his midsection snugly.	He adjusted his belt to fit his squander snugly.
waist-waste	waste	It's irresponsible to waste electricity by leaving the lights on all day.	It's irresponsible to waist electricity by leaving the lights on all day.	It's irresponsible to squander electricity by leaving the lights on all day.	It's irresponsible to midsection electricity by leaving the lights on all day.
wary-weary	wary	The hikers were wary of the steep cliffs along the trail.	The hikers were weary of the steep cliffs along the trail.	The hikers were cautious of the steep cliffs along the trail.	The hikers were exhausted of the steep cliffs along the trail.
wary-weary	weary	After the long journey, she felt weary and yearned for rest.	After the long journey, she felt wary and yearned for rest.	After the long journey, she felt exhausted and yearned for rest.	After the long journey, she felt cautious and yearned for rest.
wave-waive	wave	Children love to wave at passing trains.	Children love to waive at passing trains.	Children love to greet passing trains.	Children love to exempt passing trains.
wave-waive	waive	The university agreed to waive the application fee.	The university agreed to wave the application fee.	The university agreed to exempt the application fee.	The university agreed to greet the application fee.
weak-week	weak	After being sick, she was too weak to return to work right away.	After being sick, she was too week to return to work right away.	After being sick, she was too feeble to return to work right away.	
weak-week	week	She plans to visit her family next week.	She plans to visit her family next weak.		
wear-ware	wear	You should wear a coat in this cold weather.	You should ware a coat in this cold weather.	You should put on a coat in this cold weather.	You should goods a coat in this cold weather.
wear-ware	ware	Local artisans sell their handcrafted wares at the market.	Local artisans sell their handcrafted wears at the market.	Local artisans sell their handcrafted goods at the market.	Local artisans sell their handcrafted put on at the market.
